vardas		pavarde		nd1	nd2	nd3	nd4	nd5	egz
vardas1		pavarde1		9	10	8	8	4	9
vardas2		pavarde2		4	7	10	6	7	9
vardas3		pavarde3		0	7	5	4	3	0
vardas4		pavarde4		5	1	10	5	7	0
vardas5		pavarde5		0	6	3	8	6	3
vardas6		pavarde6		6	2	3	2	0	5
vardas7		pavarde7		9	4	1	6	10	6
vardas8		pavarde8		5	9	2	8	2	6
vardas9		pavarde9		8	7	5	5	10	1
vardas10		pavarde10		6	10	5	7	5	0
vardas11		pavarde11		0	9	3	1	9	3
vardas12		pavarde12		6	6	5	5	1	2
vardas13		pavarde13		1	6	9	1	3	0
vardas14		pavarde14		7	10	5	1	4	4
vardas15		pavarde15		0	8	1	6	5	4
vardas16		pavarde16		4	3	1	5	4	10
vardas17		pavarde17		6	8	5	0	2	7
vardas18		pavarde18		1	3	0	10	5	2
vardas19		pavarde19		0	10	1	3	10	5
vardas20		pavarde20		8	10	1	7	3	6
vardas21		pavarde21		10	6	7	0	0	0
vardas22		pavarde22		10	7	8	3	5	8
vardas23		pavarde23		10	6	10	8	6	2
vardas24		pavarde24		10	4	1	9	7	0
vardas25		pavarde25		2	2	9	3	8	10
vardas26		pavarde26		7	7	3	3	7	4
vardas27		pavarde27		3	4	9	9	7	3
vardas28		pavarde28		4	4	10	3	2	3
vardas29		pavarde29		5	10	5	5	9	1
vardas30		pavarde30		3	0	2	10	1	8
vardas31		pavarde31		10	8	4	0	0	9
vardas32		pavarde32		4	1	2	2	8	10
vardas33		pavarde33		6	1	1	3	3	3
vardas34		pavarde34		6	6	1	9	0	10
vardas35		pavarde35		10	4	8	10	3	9
vardas36		pavarde36		7	0	4	9	1	2
vardas37		pavarde37		7	3	3	8	6	9
vardas38		pavarde38		5	10	8	6	2	0
vardas39		pavarde39		8	6	7	9	2	5
vardas40		pavarde40		6	1	9	1	10	0
vardas41		pavarde41		8	4	0	1	1	10
vardas42		pavarde42		3	6	3	4	3	9
vardas43		pavarde43		2	6	6	8	2	6
vardas44		pavarde44		7	8	10	3	4	1
vardas45		pavarde45		6	8	0	5	9	10
vardas46		pavarde46		5	4	4	3	5	3
vardas47		pavarde47		3	6	9	6	8	2
vardas48		pavarde48		2	8	8	8	5	8
vardas49		pavarde49		3	1	3	2	2	7
vardas50		pavarde50		1	9	2	1	1	9
vardas51		pavarde51		1	4	2	3	7	5
vardas52		pavarde52		6	10	9	4	3	6
vardas53		pavarde53		4	5	3	0	0	7
